case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,device,comparison_bands,likely_match_band_count,uncertain_match_band_count,unlikely_match_band_count,supported_comparison_band_count,geometric_mean_efficiency,worst_band_efficiency,median_atu_dissipation_loss_db
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.53560627966067,0.4466229754322881,0.09816724392437753
elevated_tree_feed20_end3_dedicated_angled_33ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5335888427087925,0.4859774990759297,0.12010133809252782
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5309583828800406,0.47889699323205753,0.1260453354498582
elevated_tree_feed20_end3_dedicated_angled_33ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az180,33.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5309976061161151,0.4754834712886867,0.1275076089834082
elevated_tree_feed20_end3_dedicated_angled_37ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az90,37.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5256759754699022,0.4175703518126175,0.12418020886348725
elevated_tree_feed20_end3_dedicated_angled_37ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az135,37.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5263694012212371,0.4551580173478667,0.11966084033137442
elevated_tree_feed20_end3_dedicated_angled_37ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az180,37.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5262200102754246,0.46176035039758395,0.1257481281360296
elevated_tree_feed20_end3_dedicated_angled_41ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az90,41.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5724965176747432,0.46131089366438927,0.12086048686386906
elevated_tree_feed20_end3_dedicated_angled_41ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az135,41.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5645566675614146,0.49884017309972956,0.12336935171536964
elevated_tree_feed20_end3_dedicated_angled_41ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az180,41.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5589717903033209,0.4937884775272506,0.12503018018723946
elevated_tree_feed20_end3_dedicated_angled_45ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az90,45.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5572648747322725,0.4389013686734841,0.11759042421911088
elevated_tree_feed20_end3_dedicated_angled_45ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az135,45.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5513938870892166,0.4874774733646307,0.12087017285567879
elevated_tree_feed20_end3_dedicated_angled_45ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az180,45.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5467156345303774,0.5006062791334596,0.1281542684617518
elevated_tree_feed20_end3_dedicated_angled_49ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4948474517504313,0.42126026648316506,0.1460848258938012
elevated_tree_feed20_end3_dedicated_angled_49ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.504841669327735,0.45585041595858933,0.13694038181936427
elevated_tree_feed20_end3_dedicated_angled_49ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5068133561991022,0.45696075600150604,0.13524842520509095
elevated_tree_feed20_end3_dedicated_angled_53ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4454067239518328,0.39213448464424194,0.20521020708754606
elevated_tree_feed20_end3_dedicated_angled_53ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4704722849746698,0.4134436547655954,0.21444295733378557
elevated_tree_feed20_end3_dedicated_angled_53ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4772584806277609,0.41385808956323206,0.20077861120925025
elevated_tree_feed30_end3_coax_return_29.5ft_vertical_none,elevated_tree,30.0,3.0,coax_return,coax_return_29.5ft_vertical,29.5,,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.48003540493333113,0.401474033316129,0.1219117421597376
elevated_tree_feed30_end3_dedicated_vertical_29.5ft_vertical_none,elevated_tree,30.0,3.0,dedicated_vertical,dedicated_vertical_29.5ft_vertical,29.5,,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4645310795930661,0.3758340867710736,0.12016051456554336
elevated_tree_feed30_end3_dedicated_angled_33ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.471014914135868,0.43051557641559896,0.12283820618569648
elevated_tree_feed30_end3_dedicated_angled_33ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4736551158391325,0.42445408923820155,0.12611574903496944
elevated_tree_feed30_end3_dedicated_angled_33ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az180,33.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.47185273167939606,0.42271304057598846,0.12959709607118108
elevated_tree_feed30_end3_dedicated_angled_37ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az90,37.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.463083815306275,0.3284017429960167,0.11961813914034075
elevated_tree_feed30_end3_dedicated_angled_37ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az135,37.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.46302959403374006,0.3416823936801266,0.12481665112394276
elevated_tree_feed30_end3_dedicated_angled_37ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az180,37.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.46245900070720963,0.35403071152148435,0.12730054510577585
elevated_tree_feed30_end3_dedicated_angled_41ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az90,41.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5020806450368314,0.39574798978177467,0.1296181951821825
elevated_tree_feed30_end3_dedicated_angled_41ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az135,41.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5019112740688798,0.4154076588642418,0.14770194664435765
elevated_tree_feed30_end3_dedicated_angled_41ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az180,41.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.498613138877378,0.41600384337466245,0.14721533715590718
elevated_tree_feed30_end3_dedicated_angled_45ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az90,45.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.48692905635404504,0.37658557501452594,0.12788309408600335
elevated_tree_feed30_end3_dedicated_angled_45ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az135,45.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4902131717529653,0.41330780073238677,0.1329746520202869
elevated_tree_feed30_end3_dedicated_angled_45ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az180,45.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.48606754249578227,0.41671477791783373,0.13506207942797957
elevated_tree_feed30_end3_dedicated_angled_49ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4205571067316317,0.3595563484728486,0.15668533665557716
elevated_tree_feed30_end3_dedicated_angled_49ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4350543439908507,0.3797163929479845,0.14748752804790796
elevated_tree_feed30_end3_dedicated_angled_49ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4358961452061973,0.3909446609382401,0.12818573313724546
elevated_tree_feed30_end3_dedicated_angled_53ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.3684125034186702,0.2934500975834745,0.14461860779209207
elevated_tree_feed30_end3_dedicated_angled_53ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.39366928785860067,0.3189278072341829,0.13261139120575496
elevated_tree_feed30_end3_dedicated_angled_53ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,29.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4003966982894512,0.33952740966209216,0.1275576068002142
