candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
35r-25c,35.0,25.0,30ft,poor,ccs_mid,40m,7050000,63.592,-139.7,8.072126615393056,2.5317478713203427,True,0.8756
35r-25c,35.0,25.0,30ft,poor,ccs_mid,30m,10120000,190.3,510.47,31.42311174966085,5.494742252598461,True,0.8992
35r-25c,35.0,25.0,30ft,poor,ccs_mid,20m,14050000,2016.8,-1316.9,57.54120752470444,7.518895838163258,False,0.9016
35r-25c,35.0,25.0,30ft,poor,ccs_mid,17m,18080000,2125.9,492.44,44.800558228646935,6.618108485700492,False,0.9168000000000001
35r-25c,35.0,25.0,30ft,poor,ccs_mid,15m,21050000,422.87,-845.72,42.38004365547746,6.425371586057754,False,0.9147
35r-25c,35.0,25.0,30ft,poor,copper,40m,7050000,60.346,-142.63,8.662257449541686,2.6361231887900556,True,0.9335
35r-25c,35.0,25.0,30ft,poor,copper,30m,10120000,181.51,504.65,31.93579671209311,5.5400038465908406,True,0.9466
35r-25c,35.0,25.0,30ft,poor,copper,20m,14050000,2108.8,-1365.3,59.86172360915865,7.671682905838784,False,0.9481999999999999
35r-25c,35.0,25.0,30ft,poor,copper,17m,18080000,2103.9,580.08,45.27843267123428,6.654077911572158,False,0.9562
35r-25c,35.0,25.0,30ft,poor,copper,15m,21050000,421.38,-864.07,43.96026368407197,6.547087425466699,False,0.9553
41r-17c,41.0,17.0,20ft,average,ccs_mid,40m,7050000,63.519,-223.92,17.78878544057735,4.0072228024394745,True,0.857
41r-17c,41.0,17.0,20ft,average,ccs_mid,30m,10120000,456.26,869.41,42.344636381975164,6.423290860967772,False,0.8776999999999999
41r-17c,41.0,17.0,20ft,average,ccs_mid,20m,14050000,156.88,-534.45,39.845904962716034,6.20904877603749,True,0.875
41r-17c,41.0,17.0,20ft,average,ccs_mid,17m,18080000,140.33,279.93,14.260856936301668,3.602037749600564,True,0.8874
41r-17c,41.0,17.0,20ft,average,ccs_mid,15m,21050000,415.53,1019.7,58.460177369900684,7.5734374478058815,False,0.8964
41r-17c,41.0,17.0,20ft,average,copper,40m,7050000,59.73,-227.24,19.27028661243473,4.181516434494441,True,0.9229999999999999
41r-17c,41.0,17.0,20ft,average,copper,30m,10120000,426.95,861.15,43.371515356574314,6.502112136230156,False,0.9347
41r-17c,41.0,17.0,20ft,average,copper,20m,14050000,152.06,-543.92,42.25848921314802,6.399479316745267,True,0.9333
41r-17c,41.0,17.0,20ft,average,copper,17m,18080000,133.65,274.4,14.244452299812947,3.5972967050255984,True,0.9401
41r-17c,41.0,17.0,20ft,average,copper,15m,21050000,393.66,1011.2,59.93320225454848,7.669607182787228,False,0.9451999999999999
41r-17c,41.0,17.0,20ft,poor,ccs_mid,40m,7050000,74.123,-237.68,17.342064631506528,3.9654978799358442,True,0.8783
41r-17c,41.0,17.0,20ft,poor,ccs_mid,30m,10120000,479.64,816.14,37.44469037460429,6.03051835088427,True,0.89
